id,perfil_esperado,mensaje_usuario,clasificacion_obtenida,coincide,json_parseo_ok,lead_completo,tiempo_ms,respuesta_preview,timestamp_utc,modo_ejecucion,notas
TIB-20,tibio,"Buenas, un amigo me recomendó, me interesa depto para inversión a mediano plazo en Mendoza capital",tibio,si,si,si,771,¡Hola! Gracias por contactarte con Nodo Propiedades. Entiendo que estás buscando un departamento en Mendoza capital para invertir a mediano plazo. Para poder en,2026-08-21T13:45:59.384803+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
FRI-21,frio,"Hola, solo miraba el catálogo, no busco nada en particular",frio,si,si,si,670,¡Hola! Gracias por visitar nuestro catálogo. Entiendo que en este momento solo está explorando sin buscar nada concreto. Cuando decida avanzar o tenga alguna co,2026-08-21T13:46:04.839572+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
FRI-22,frio,¿Ustedes venden autos también o solo casas?,frio,si,si,si,758,"¡Hola! En Nodo Propiedades nos dedicamos exclusivamente a la compra, venta y alquiler de inmuebles. Si tenés alguna consulta sobre propiedades, estaré encantado",2026-08-21T13:46:07.199161+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
FRI-23,frio,"Buenas, una curiosidad: más o menos cuánto sale un depto en Mendoza?",frio,si,si,si,822,"Estimado/a,  Gracias por su consulta. En Mendoza los precios de los departamentos varían según la zona, el tipo de inmueble y los metros cuadrados. Actualmente,",2026-08-21T13:46:09.621905+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
FRI-24,frio,"Hola, pasaba a ver, no sé si me animo a buscar ahora",frio,si,si,si,743,"¡Hola! Entiendo que estés evaluando la mejor opción para iniciar la búsqueda. Cuando estés listo, podemos conversar sobre tus necesidades y el tipo de propiedad",2026-08-21T13:46:11.965892+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
FRI-25,frio,¿Hacen tasaciones gratis? Por ahora no pienso mudarme,frio,si,si,si,704,"¡Hola! Gracias por contactarnos. En Nodo Propiedades ofrecemos tasaciones gratuitas sin compromiso, para que tengas una referencia clara del valor de tu inmuebl",2026-08-21T13:46:14.270931+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
FRI-26,frio,"Buenas, cómo está el mercado en general? Solo charla",frio,si,si,si,900,"¡Hola! El mercado inmobiliario en Argentina está mostrando una tendencia de estabilización después de los últimos ajustes macroeconómicos. En general, la demand",2026-08-21T13:46:16.771863+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
FRI-27,frio,"Hola bot, contame un chiste de inmobiliaria jaja",frio,si,si,si,608,¡Hola! Un gusto saludarte. Te cuento un chiste para arrancar con una sonrisa:  —¿Cuál es el agente inmobiliario que nunca se cansa?   —¡El que siempre está “en ,2026-08-21T13:46:22.150589+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
FRI-28,frio,"Estoy en el canal porque me reenviaron el link, todavía no busco vivienda",frio,si,si,si,707,"¡Hola! Gracias por contactarte. Entiendo que aún no estás buscando una vivienda, pero quedo a tu disposición para cuando decidas iniciar el proceso o si tenés a",2026-08-21T13:46:24.458595+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
FRI-29,frio,¿Trabajan en Córdoba también o solo Mendoza?,frio,si,si,si,673,¡Hola! En Nodo Propiedades contamos con presencia tanto en Mendoza como en Córdoba. Nuestro equipo de asesores está preparado para atender tus consultas y acomp,2026-08-21T13:46:26.732881+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
FRI-30,frio,"Hola, más adelante quizás. Por ahora solo dejame el contacto",frio,si,si,si,742,"¡Hola! Entiendo, quedo a tu disposición para cuando decidas avanzar. Te dejo mis datos de contacto y quedo atento a cualquier consulta futura.  Saludos cordiale",2026-08-21T13:46:29.076092+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
